,ch0_mav,ch0_wl,ch0_rms,ch0_var,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_mav,ch3_wl,ch3_rms,ch3_var,ch4_mav,ch4_wl,ch4_rms,ch4_var,label
0,38.08,160,46.32131258934704,695.5776000000004,72.696,287,73.66345091020376,141.59558399999992,90.988,358,112.4095191698639,4357.083856,47.408,223,54.4576899987504,718.1215360000002,89.704,392,100.66812802471297,2087.2643840000014,thumb
1,11.104,45,11.85276339087219,17.189183999999962,40.636,236,47.00906295598754,558.567504,42.88,193,54.76809290088527,1160.8495999999982,27.828,120,33.6975370019828,361.1264160000006,53.78,222,57.95919254095937,466.97960000000006,thumb
2,60.652,217,62.692423784696665,251.67489599999936,134.74,662,150.48134768136546,4489.7684,210.94,757,222.15418969715606,4856.800399999995,71.116,275,72.50977865088267,200.18254399999978,228.172,855,230.94358618502486,1272.4784160000004,thumb
3,47.324,184,48.428049723275045,105.71502399999999,90.64,407,92.82624628842858,401.1024,361.392,1366,370.6795597278059,6799.158336000004,74.72,293,75.48711148268954,115.22559999999991,162.62,674,170.33779380982952,2569.6996000000004,thumb
4,50.204,204,52.308507912193406,215.7383840000001,98.02,449,101.35717044195738,665.3556000000002,98.948,391,103.68824427098764,960.5452959999998,86.352,363,87.93179174792243,275.3320959999997,216.24,744,218.83038180289316,1126.9984,thumb
5,41.588,198,46.439078371561166,427.026256,69.284,382,79.99312470456445,1598.6273439999995,67.336,310,77.06859282483364,1405.431104000001,83.068,387,93.43586035350667,1829.9673759999987,169.296,774,184.1075337947907,5234.448383999999,index
6,19.828,90,22.922390800263397,132.28641600000006,79.316,301,83.2538047178626,640.168144,22.464,111,30.29574227511186,413.20070399999554,47.52,201,55.823292629510846,858.0895999999997,72.472,307,82.2891973469179,1519.3212160000012,index
7,19.14,90,25.11230773943327,264.2884000000003,76.896,293,83.19735572721046,1008.8051839999997,16.524,81,18.71972222016128,77.38542399999997,23.5,113,25.44696445551021,95.298,64.284,300,74.51574330300946,1420.1633439999969,index
8,22.672,106,26.137023548981244,169.12441600000005,61.468,311,70.42814778197706,1181.8089759999998,22.976,107,27.825887227544065,246.383424,40.28,173,48.32456932037781,712.7855999999985,80.852,303,93.60087606427624,2224.078095999999,index
9,30.22,145,32.24723243938928,126.6356,60.376,298,64.05279072764903,457.49862399999995,40.848,181,45.10210638096629,365.6408959999998,46.284,205,49.01628300881249,260.3873440000003,137.22,552,146.89260022206702,2748.1076000000007,index
10,46.936,198,52.16228522601363,517.9159039999998,64.416,268,66.15369982094728,226.89094400000022,97.72,454,105.7024881447925,1623.8176000000008,79.796,383,84.26607858444582,733.3703839999995,330.856,1279,347.5419974621772,11319.747264000003,middle
11,56.112,274,62.65639632152491,777.2674560000002,82.348,411,88.72124886406864,1090.2668959999994,96.528,467,108.0400296186557,2354.9932159999994,59.872,280,63.175058369581265,406.4316159999997,179.432,781,194.76607507469058,5737.981375999997,middle
12,63.016,239,66.01405910864746,386.83974399999994,95.296,461,101.41384520863016,1203.4403840000004,125.412,500,128.04669460786562,667.7862559999998,70.152,290,76.08374333587957,867.4328960000014,163.52,721,172.24547599283994,2929.713600000002,middle
13,48.564,187,49.0476095238086,47.20590400000001,67.032,288,68.76120999517097,234.81497600000006,97.192,437,104.12200535909784,1395.1071360000003,54.572,271,56.92236818685603,262.05281599999995,177.964,824,187.5076638433747,3487.938704000001,middle
14,34.556,150,41.463863785228696,525.1348640000003,92.444,375,98.55656244005267,1167.5028639999998,71.716,352,92.96797297994617,3499.8593439999986,58.716,273,65.5371955457357,847.5553440000002,354.516,1193,384.2808712387334,21990.193744000015,middle
