,ch0_mav,ch0_wl,ch0_rms,ch0_var,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_mav,ch3_wl,ch3_rms,ch3_var,ch4_mav,ch4_wl,ch4_rms,ch4_var,label
0,129.104,596,132.28835171699737,832.3651839999992,23.28,96,23.388544204374927,5.065600000000003,23.836,117,24.363661465387338,25.433104000000004,5.496,24,5.710341495917735,2.401984000000009,86.84,428,89.158465666475,408.04639999999966,thumb
1,108.244,477,110.24592509476257,437.40046400000017,29.388,111,30.000466663037095,36.37345599999996,37.532,152,41.46058369101911,310.3289759999997,7.1,31,7.1913837333297685,1.3059999999999992,149.62,653,151.85963255585733,675.2036000000002,thumb
2,171.684,882,182.2595841101367,3743.1601439999977,33.6,139,34.442764116719786,57.34399999999996,44.556,173,46.74317062416712,199.68686400000013,5.848,16,5.888972745734183,0.4808960000000013,115.04,500,116.47262339279561,331.67039999999986,thumb
3,105.812,469,108.47331469075701,570.2806560000004,28.9,119,31.787230140419595,175.2179999999999,36.012,142,39.71030093061497,280.0438560000001,4.836,27,5.035474158408521,1.9691040000000004,102.704,553,110.3641246057794,1632.1283840000012,thumb
4,90.992,396,92.95491380233753,361.0719359999999,21.904,93,22.493376802961354,26.166784000000135,26.508,110,31.944263960842797,317.76193600000016,5.056,27,5.152086955787916,0.9808640000000043,98.008,439,99.11455997985361,218.12793599999995,thumb
5,165.288,685,167.510548921553,739.6610560000003,32.064,132,33.466879149391865,91.93190400000009,31.868,141,32.048276084682,11.522575999999997,5.54,30,5.6607420008334595,1.3524000000000032,144.932,507,148.91145019776013,1169.335376,index
6,119.588,488,123.44477307687029,937.3222559999997,26.548,114,27.06340702867989,27.631696,52.912,196,55.99728564850264,336.0162559999997,5.848,34,5.940370358824439,1.088895999999996,122.104,486,123.93640304607844,450.84518399999985,index
7,137.408,618,143.37483740182586,1675.3855359999995,28.72,136,29.157366136192756,25.31359999999999,36.64,153,37.51469045587342,64.86239999999992,4.704,18,4.818298454848973,1.088384000000002,125.764,472,128.32080111969375,649.6443040000004,index
8,184.952,832,189.46018051295107,1687.9176959999995,40.492,185,41.17635243680528,55.88993599999997,46.84,188,48.21269542350853,130.47840000000002,7.668,34,7.87832469500972,3.269776000000009,209.076,862,215.80037998112977,2857.0302239999974,index
9,130.564,544,132.01195400417342,380.1979040000001,28.988,127,30.04363493321006,62.315856000000025,44.004,222,45.42717248519877,127.27598400000004,5.904,22,5.9531504264548865,0.5827840000000016,129.924,510,133.30906945890817,891.0622240000002,index
