,ch0_mav,ch0_wl,ch0_rms,ch0_var,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_mav,ch3_wl,ch3_rms,ch3_var,ch4_mav,ch4_wl,ch4_rms,ch4_var,label
14,50.044,243,54.35877114137148,450.47406400000017,54.256,237,58.68832933386331,500.60646399999973,119.892,635,134.1869889370799,3632.0563359999987,122.232,599,137.883835165693,4071.2901760000013,423.648,1989,446.95402895599904,20290.276096000012,middle
15,43.18,166,44.670213789504075,130.9156,146.068,639,150.22129010230208,1230.5753759999996,282.912,1282,296.1093446684856,7641.544256,84.052,360,86.47901479549822,413.8812959999999,463.34,1909,476.23723919912015,12117.952399999993,ring
16,26.712,120,30.813892970541712,235.9650559999999,137.316,638,159.04466039449423,6439.520144000003,252.508,1261,288.4016712850326,19415.233936000004,43.124,180,45.60285078808122,219.94062400000038,232.456,1041,250.70581963727926,8817.616063999994,ring
17,31.396,144,34.12840459206964,179.039184,115.324,468,122.0661951565625,1600.5310239999997,315.832,1494,345.51031243654654,19627.523776000016,85.072,295,86.83262059848246,302.65881600000074,415.008,1417,423.96502685952765,7514.703936000001,ring
18,23.36,104,28.293038012910525,254.8064,101.112,563,116.91542242150948,3445.5794560000027,223.552,1228,261.6386057140651,18479.263296,56.816,236,66.95108662299664,1254.3901440000009,264.144,1002,311.52735995414594,27277.243263999997,ring
19,34.956,130,35.92185964005761,68.45806400000001,153.868,618,170.0872599579404,5254.314576000001,138.052,734,164.9120856699108,8137.6412960000025,64.684,254,74.18029387916982,1318.6961440000007,335.484,1114,364.24508781862795,20124.96974399999,ring
20,18.952,79,20.6403488342615,66.84569599999993,57.108,293,60.307511969903054,375.67233599999986,74.492,313,78.56592136543681,623.5459359999999,215.004,1067,243.04879345514144,12845.995984000001,107.84,500,113.23434108078698,1192.5504,pinky
21,28.76,123,29.985996731807997,72.0224,80.476,334,84.99428216062537,747.6414239999982,139.8,700,150.84619981955132,3210.5359999999973,342.968,1377,381.3796743404137,27823.40697599998,150.072,531,152.94820038169786,871.546816000001,pinky
22,18.568,92,21.073775171999912,99.3333760000003,93.092,372,99.04025444232259,1142.851536,116.22,564,149.08806793301736,8720.163600000002,360.936,1402,417.0473738078205,43653.71590399999,127.68,601,131.7599332118835,1058.4976000000001,pinky
23,34.596,150,35.703725295828725,77.87278400000021,95.956,395,100.6369117173217,920.234064,268.408,1173,288.06088245369244,10936.217535999991,393.588,1734,441.63684176028613,40131.586255999944,178.52,706,186.81704419029865,3031.217599999997,pinky
24,27.848,124,33.02617144023812,315.2168960000001,90.788,449,104.74737228207684,2729.551056000009,43.94,266,60.18647688642358,1691.688400000001,339.116,1488,379.1968090583042,28790.558544000007,192.964,673,196.6924807917171,1452.826704000001,pinky
25,3.56,11,3.605551275463989,0.32640000000000036,3.12,7,3.1654383582688825,0.2856000000000001,3.47,10,3.5057096285916205,0.24909999999999993,12.05,20,12.116517651536682,1.6075000000000006,31.34,60,31.59177108045701,15.844399999999997,baseline
