,ch0_mav,ch0_wl,ch0_rms,ch0_var,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_mav,ch3_wl,ch3_rms,ch3_var,ch4_mav,ch4_wl,ch4_rms,ch4_var,label
0,215.18,789,229.4306779835687,6336.0036000000055,45.124,149,46.38607549685574,115.492624,25.492,99,25.94016191159955,23.04993599999999,10.796,40,11.267120306449204,10.394384,270.628,963,283.5019506105734,7133.841616000005,thumb
1,102.624,474,106.50836586860207,812.3466240000001,51.236,179,53.6813934245377,256.56430400000016,21.78,118,22.308832331612518,23.315599999999968,7.988,32,8.15622461681874,2.715855999999985,233.936,811,242.85956435767565,4254.715904,thumb
2,108.536,506,128.78614832349012,4805.808703999996,22.924,94,23.37289027912466,20.782223999999964,18.236,87,19.007893097342482,28.748303999999994,4.8,25,4.877704378086069,0.7519999999999971,104.428,470,108.64973078659698,899.5568160000008,thumb
3,115.56,570,120.7288863528526,1221.3503999999998,29.668,128,30.326292223085893,39.493776000000004,21.516,102,22.10239805993911,25.577743999999967,9.4,43,9.878866331720458,9.231999999999992,223.108,837,233.06918286208497,4544.064336,thumb
4,133.36,573,135.34406525592468,533.1264000000003,39.956,136,40.60014778298227,51.89006400000004,27.16,92,27.276216746462474,6.326399999999999,7.848,42,8.00699694017676,2.5208959999999982,179.916,744,183.45692682479995,1286.6769439999996,thumb
5,254.596,1208,288.14101408858824,18206.120784,25.82,110,28.02563112581053,118.76360000000011,23.248,122,26.366190471890324,154.70649600000021,5.628,30,6.018305409332431,4.5456159999999874,122.488,553,136.05831102876442,3508.5538559999995,index
6,361.048,1609,366.2587500661247,3789.813696,22.628,103,22.954825200815623,14.897616000000024,23.576,108,23.788400534714395,10.060223999999979,4.86,30,4.978754864421425,1.1683999999999992,126.576,513,128.07338521332213,381.30822400000017,index
7,433.524,1685,436.90722585006534,2944.8654240000005,26.868,104,27.12747684544215,14.010575999999997,40.828,132,41.24264782964352,34.0304159999999,6.544,29,6.788814329468733,3.2640639999999985,124.284,529,128.04816281384126,949.8193440000005,index
8,409.256,1955,422.3430548736418,10883.182463999998,22.652,90,22.754252349835625,4.6428959999999995,33.54,138,34.44526092222267,61.544399999999975,7.832,33,8.192191404013947,5.771776000000014,244.072,990,262.5134815585668,9342.186816000003,index
9,326.596,1361,332.16601271051195,3669.312784000004,19.212,90,19.48486592204319,10.559055999999979,23.46,95,23.909077773933483,21.272399999999898,6.252,35,6.512449615927942,3.3244959999999932,146.132,670,158.735112687773,3842.274576000001,index
10,73.008,255,74.25458908377313,183.57593600000013,18.456,74,18.550687318803043,3.504064,13.024,67,13.150209123812441,3.303424000000013,8.004,40,8.366839307647782,5.939984000000001,211.5,914,219.1235176789566,3282.866,middle
11,54.664,202,55.41270612413727,82.41510400000006,17.288,65,17.715529910222838,14.965056000000107,12.788,53,13.058177514492595,6.983055999999973,6.736,29,7.136946125619837,5.562304000000007,177.972,738,199.71873222109136,8213.539215999996,middle
12,48.64,182,50.31945945655617,166.1984,14.288,66,14.889728002888434,17.55705600000004,13.304,53,13.807823869096826,13.659583999999992,6.84,34,7.602631123499285,11.014399999999979,184.864,812,214.13203403507845,11677.829504,middle
13,37.252,176,38.807782724603065,118.33249599999992,18.064,83,18.48458817501759,15.37190399999995,12.304,56,12.60126977728832,7.4035839999999915,5.232,21,5.779965397820302,6.0341759999999915,143.26,686,156.62496608140097,4007.9524000000006,middle
14,44.228,219,46.35519388374942,192.6880159999999,17.772,76,18.07285256953091,10.784016000000008,12.976,73,13.15689933076939,4.727423999999989,6.98,33,7.347652686402644,5.267600000000003,210.744,925,229.21694527237727,8127.374464000001,middle
15,101.712,491,126.9519594177262,5771.4690560000045,21.076,90,22.15969313866959,46.854223999999896,14.264,63,15.978485535243946,51.850303999999994,9.396,46,10.817208512365841,28.7271840000001,256.728,1150,306.8851120533546,28269.206016000026,ring
16,70.248,348,73.38866397475839,451.1144959999998,17.72,79,17.95460943601949,8.369600000000002,14.708,59,14.887444374371311,5.310736000000012,12.752,50,13.304735998884006,14.402496000000006,371.936,1240,387.56054494749594,11866.787903999995,ring
17,190.692,827,204.0970259459946,5292.157135999993,18.996,80,19.23777533916019,9.243984000000031,16.608,70,16.810472926125545,6.766335999999986,9.08,35,9.365468488014894,5.2655999999999965,245.076,899,251.87581860909157,3379.1822239999983,ring
18,51.856,207,52.80030302943346,98.827264,14.044,48,14.36899439766054,9.234064000000007,10.52,46,10.661707180372193,3.001599999999993,5.256,24,5.61426753904728,3.894463999999989,134.584,624,147.92162789801904,3767.9549440000014,ring
19,66.132,257,67.75883706203938,217.81857600000006,19.276,90,19.44294216418904,6.463823999999997,13.144,56,13.283674190524247,3.6912640000000168,9.344,35,9.60832971957145,5.009663999999992,264.704,963,271.2213265950891,3492.8003840000006,ring
20,417.56,1473,430.4274154837259,10911.406399999998,20.264,86,20.423711709677065,6.498304,26.48,108,27.1436180344478,35.585599999999985,6.996,25,7.106335201775948,1.5559840000000025,153.78,636,155.76483556952127,614.3955999999998,pinky
21,232.728,935,236.84138151936202,1931.5180159999998,18.108,89,18.30398863636011,7.1363359999999965,30.824,116,32.654188092800595,116.177024,8.148,46,8.345777375415667,3.2620959999999966,211.404,903,219.82095441517853,3629.600784000003,pinky
22,318.628,1249,321.8796855969634,2082.7296159999996,16.388,86,16.491331056042746,3.3974559999999996,23.952,116,24.711616701462493,36.96569599999996,6.868,32,6.978538528947161,1.5305760000000028,140.372,705,145.17745003959809,1372.1936160000005,pinky
23,197.068,822,234.42630398485576,16119.895376000004,29.932,123,32.45667881962047,157.51137599999993,16.304,70,17.69384073625622,47.251584000000165,6.772,32,7.106335201775948,4.640016000000004,167.196,812,188.50405831175095,7579.277583999999,pinky
24,433.908,1481,437.16082624132736,2833.4355359999986,24.68,79,25.294742536740713,30.721599999999995,24.784,119,25.638096653222913,43.065343999999975,7.82,29,8.22508358620142,6.499599999999994,178.888,743,185.40513477247603,2374.147456,pinky
25,33.88,60,34.364225584174015,33.045600000000015,11.79,23,11.871394189394943,1.9259000000000006,7.27,11,7.387151006985034,1.7171,2.4,7,2.449489742783178,0.24000000000000005,9.04,20,9.322016949137135,5.1784,baseline
26,38.39,59,38.63819353955358,19.117900000000006,9.13,16,9.17986928011505,0.9131000000000016,10.92,21,11.199107107265293,6.173599999999997,1.94,3,2.240535650240808,1.256400000000001,10.83,19,10.940292500660117,2.4011000000000013,baseline
27,47.75,71,48.447806967911355,67.1275,11.72,19,12.137545056559008,9.961599999999997,12.55,24,12.7283148923964,4.507500000000002,2.0,0,2.0,0.0,12.28,21,12.345849504995595,1.6216000000000002,baseline
28,28.57,55,30.330677539415436,103.70510000000002,11.88,21,12.107022755409359,5.445600000000005,9.98,20,10.069756700139283,1.7996,2.65,2,2.692582403567252,0.22749999999999995,19.6,32,21.004285277057157,57.02,baseline
29,22.98,53,24.56664405245454,75.4396000000001,10.94,21,10.993634521849451,1.1764000000000012,7.08,13,7.159608927867499,1.1336000000000013,2.94,17,3.026549190084311,0.5164000000000002,8.04,21,8.148619514985345,1.7584000000000009,baseline
30,55.41,65,55.72351388776555,34.8419,10.52,19,10.6686456497533,3.149599999999998,8.64,16,8.702873088813831,1.0903999999999976,2.0,4,2.172556098240043,0.72,9.54,14,9.716995420396163,3.408399999999995,baseline
31,43.0,83,45.59649109306548,230.04,11.38,18,11.413150310059006,0.7555999999999989,11.43,21,11.564168798491313,3.085100000000001,3.68,4,3.7175260590882213,0.27759999999999957,9.2,20,9.451983918733676,4.7,baseline
32,44.41,67,45.656434376766654,112.26190000000001,10.73,18,10.949429208867466,4.757099999999998,9.17,22,9.267685795278128,1.8010999999999981,1.25,4,1.3228756555322954,0.1875,10.1,15,10.192153844992726,1.8700000000000006,baseline
